date,review,exact_date,translated_review
9 months ago,"I recently had the opportunity to visit Govardhan Eco Village, and it was a delightful experience that left a positive impression. Here's why I'm giving it a four-star review: …",2023-08-22,"I recently had the opportunity to visit Govardhan Eco Village, and it was a delightful experience that left a positive impression. Here's why I'm giving it a four-star review: …"
11 months ago,The experience of visiting here was amazing there are also forest tour guide slots through which you can cover the forest while listening to amazing leelas to our Lord Krishna. They have a app through which you can get other details too. It …,2023-06-23,The experience of visiting here was amazing there are also forest tour guide slots through which you can cover the forest while listening to amazing leelas to our Lord Krishna. They have a app through which you can get other details too. It …
9 months ago,It's located in wada by road is easy way to reach there it's good place to visit there it's free of costThey have made a mini vrindavan same as original village the local guide will …,2023-08-22,It's located in wada by road is easy way to reach there it's good place to visit there it's free of costThey have made a mini vrindavan same as original village the local guide will …
a month ago,Best place in villages in Mumbai Palghar …,2024-04-18,Best place in villages in Mumbai Palghar …
a year ago,Govardhan Ecovillage is such a beautiful place. So many great structures created.. and the carving on the temple walls are just awesome. …,2023-05-19,Govardhan Ecovillage is such a beautiful place. So many great structures created.. and the carving on the temple walls are just awesome. …
5 months ago,Its a place for meditation and devoting place were you cane give time to god very huge place to rome around,2023-12-20,Its a place for meditation and devoting place were you cane give time to god very huge place to rome around
a year ago,I visited with my friend for one day. We both felt relaxed. But the only issue was transportation. Don't miss the Prasad which is served as lunch. Visit mini Vrindavan. At the end of the day don't miss the Yamuna Aarti. One suggestion for the visitors if you are planning to take a stay that will be better. …,2023-05-19,I visited with my friend for one day. We both felt relaxed. But the only issue was transportation. Don't miss the Prasad which is served as lunch. Visit mini Vrindavan. At the end of the day don't miss the Yamuna Aarti. One suggestion for the visitors if you are planning to take a stay that will be better. …
10 months ago,"Awesome place, a spiritual bliss, if u like iskon and radhe krishna. Well maintained and super green natural habitat. Mahavan cottage is the best and luxurious stay. But avoid summers …",2023-07-23,"Awesome place, a spiritual bliss, if u like iskon and radhe krishna. Well maintained and super green natural habitat. Mahavan cottage is the best and luxurious stay. But avoid summers …"
a month ago,"devotional atmosphere ,Krishna is everything ....🥰 …",2024-04-18,"devotional atmosphere ,Krishna is everything ....🥰 …"
2 weeks ago,"Very good. Good Place, Good environment, Good Food. ENJOYED PRASADAM. But lot of walking, for senior citizen and disabled little difficult...  Rest everything was A1. Food pricing was reasonable. …",2024-05-04,"Very good. Good Place, Good environment, Good Food. ENJOYED PRASADAM. But lot of walking, for senior citizen and disabled little difficult...  Rest everything was A1. Food pricing was reasonable. …"
7 months ago,Be here and be ready to Mesmerize yourself. Its truly a beautiful place...in the lap of Nature and made in the image of the original Vrindavan of North India. …,2023-10-21,Be here and be ready to Mesmerize yourself. Its truly a beautiful place...in the lap of Nature and made in the image of the original Vrindavan of North India. …
2 years ago,"Beautiful experience to be there....highly dedicated people to their services, very well managed, great food, and amazingly designed replica of Vrindavan and Govardhan. Also world class staying facility. Best time to visit is  winters and then during monsoon. …",2022-05-19,"Beautiful experience to be there....highly dedicated people to their services, very well managed, great food, and amazingly designed replica of Vrindavan and Govardhan. Also world class staying facility. Best time to visit is  winters and then during monsoon. …"
a year ago,"Govardhan eco village is replica of Mathura, Vrindavan and Yamuna river. Showcasing whole life of Shri Krishna with different sculptures and temples. Very well maintained and peaceful atmosphere. Good for weekend trip... …",2023-05-19,"Govardhan eco village is replica of Mathura, Vrindavan and Yamuna river. Showcasing whole life of Shri Krishna with different sculptures and temples. Very well maintained and peaceful atmosphere. Good for weekend trip... …"
8 months ago,Govardhan eco village in Palghar is a peaceful and eco-friendly retreat center located in a natural environment.The center promotes sustainable living and offers various - activities such as …,2023-09-21,Govardhan eco village in Palghar is a peaceful and eco-friendly retreat center located in a natural environment.The center promotes sustainable living and offers various - activities such as …
a year ago,Everything is beautiful 😍.The guide explain the story of lord Krishna in detail & also show the places where lord Krishna spend their time. …,2023-05-19,Everything is beautiful 😍.The guide explain the story of lord Krishna in detail & also show the places where lord Krishna spend their time. …
11 months ago,For nature lover it's a very good place but for food lover may be not.. Morning environment is superb.. For peace you can visit there.. Must taste prasad daal khichdi... It's very tasty... …,2023-06-23,For nature lover it's a very good place but for food lover may be not.. Morning environment is superb.. For peace you can visit there.. Must taste prasad daal khichdi... It's very tasty... …
10 months ago,"One of the best experience in my life.. everyone should visit once..this mini vrindavan ❤️...it took 2hr driving from Dombivli to reach there...they have tour guide for mini vrindavan in every one hr,..3 slots in morning n 3 slots in …",2023-07-23,"One of the best experience in my life.. everyone should visit once..this mini vrindavan ❤️...it took 2hr driving from Dombivli to reach there...they have tour guide for mini vrindavan in every one hr,..3 slots in morning n 3 slots in …"
8 months ago,"Govardhan Eco Village is not just a place to stay, but a place to experience. It is a place where you can discover your true self, your purpose, and your connection with everything around you. It is a place where you can find peace, joy, and inspiration. It is a place where you can make a positive difference in the world.",2023-09-21,"Govardhan Eco Village is not just a place to stay, but a place to experience. It is a place where you can discover your true self, your purpose, and your connection with everything around you. It is a place where you can find peace, joy, and inspiration. It is a place where you can make a positive difference in the world."
a year ago,When u enter here u will feel the spritual atmosphere and the calming sound all and every where its ecological and mostly enviornment friendly even the vehicle's also electric which run here each and everything is well mentioned and rooms …,2023-05-19,When u enter here u will feel the spritual atmosphere and the calming sound all and every where its ecological and mostly enviornment friendly even the vehicle's also electric which run here each and everything is well mentioned and rooms …
11 months ago,"It's really  peaceful place cut of from our daily busy life really  to good experience  ,advice is go before  sunset  otherwise you miss natural  beauty  of there …",2023-06-23,"It's really  peaceful place cut of from our daily busy life really  to good experience  ,advice is go before  sunset  otherwise you miss natural  beauty  of there …"
3 months ago,"I wanted to express my heartfelt gratitude for providing an extraordinary setting for my recent yoga retreat. The serene surroundings, impeccable facilities, and the harmonious atmosphere contributed immensely to the well-being of my …",2024-02-18,"I wanted to express my heartfelt gratitude for providing an extraordinary setting for my recent yoga retreat. The serene surroundings, impeccable facilities, and the harmonious atmosphere contributed immensely to the well-being of my …"
11 months ago,Govardhan Ecovillage (GEV) works on the ideology of International Society for Krishna Consciousness (ISKCON) - The Hare Krishna Movement. It acts as a spiritual destination for devotees of Shri Krishna and visitors to experience a peaceful …,2023-06-23,Govardhan Ecovillage (GEV) works on the ideology of International Society for Krishna Consciousness (ISKCON) - The Hare Krishna Movement. It acts as a spiritual destination for devotees of Shri Krishna and visitors to experience a peaceful …
a year ago,"Best place to experience vrindavan. I liked the concept of vrindavan forest, the guide will help us to relive the moment of lord Krishna and his life. I loved the experience. …",2023-05-19,"Best place to experience vrindavan. I liked the concept of vrindavan forest, the guide will help us to relive the moment of lord Krishna and his life. I loved the experience. …"
a year ago,"Amazing place , must visit it should be in your must visit list. You will feel positive vibes in the pollution free environment . You can book an independent villa, room & Hut . You may visit the satsang place and have Prasad for dinner you …",2023-05-19,"Amazing place , must visit it should be in your must visit list. You will feel positive vibes in the pollution free environment . You can book an independent villa, room & Hut . You may visit the satsang place and have Prasad for dinner you …"
8 months ago,"Super place to stay for few days, well managed Eco resort with various activities like yoga and sound meditation etc besides daily arti at the temple, food at Govinda's is amazing too",2023-09-21,"Super place to stay for few days, well managed Eco resort with various activities like yoga and sound meditation etc besides daily arti at the temple, food at Govinda's is amazing too"
8 months ago,Beautiful place with positive vibes.... So many things to do from meditation to visit gaushala... Morning yagya highly recommended... …,2023-09-21,Beautiful place with positive vibes.... So many things to do from meditation to visit gaushala... Morning yagya highly recommended... …
11 months ago,"Good natural environment, the tour of eco village can be more systematic. Seating arrangements needs a bit of improvement. Overall a lovely experience, you can spend whole lot of time here. As it was hot summer afternoon so felt a bit tired otherwise its a nice experience overall. Prasad being served is very nice. …",2023-06-23,"Good natural environment, the tour of eco village can be more systematic. Seating arrangements needs a bit of improvement. Overall a lovely experience, you can spend whole lot of time here. As it was hot summer afternoon so felt a bit tired otherwise its a nice experience overall. Prasad being served is very nice. …"
a month ago,Divine place filled with positivity and nature... …,2024-04-18,Divine place filled with positivity and nature... …
9 months ago,The vibe which I felt here is unreal. Very beautiful and well managed holy place.Mobile network very weak (almost zero) which makes this place very Interesting to explore,2023-08-22,The vibe which I felt here is unreal. Very beautiful and well managed holy place.Mobile network very weak (almost zero) which makes this place very Interesting to explore
10 months ago,"Spiritual retreat centre in the midst of sahyadri mountains near Palghar. This ecovillage is created by Iskcon chowpatty. There is Radha Vrindavan Bihari temple with beautiful deities of Radha, Krishna and Gaurang Mahaprabhu. There is life …",2023-07-23,"Spiritual retreat centre in the midst of sahyadri mountains near Palghar. This ecovillage is created by Iskcon chowpatty. There is Radha Vrindavan Bihari temple with beautiful deities of Radha, Krishna and Gaurang Mahaprabhu. There is life …"
11 months ago,Awesome place. Good environment. Peaceful. You can see there the life of krishna …,2023-06-23,Awesome place. Good environment. Peaceful. You can see there the life of krishna …
8 months ago,Great place to visit at least once. Have developed in 99 acres. Have a pantry for food like sandwich bakery products and lunch. …,2023-09-21,Great place to visit at least once. Have developed in 99 acres. Have a pantry for food like sandwich bakery products and lunch. …
10 months ago,We just loved the place....very well developed....property with beautiful mandirs...yummy satwik food....one must visit.. …,2023-07-23,We just loved the place....very well developed....property with beautiful mandirs...yummy satwik food....one must visit.. …
a year ago,"Wonderful spiritual place by ISKON, for family. Facility for stay,  advance booking needed. …",2023-05-19,"Wonderful spiritual place by ISKON, for family. Facility for stay,  advance booking needed. …"
2 years ago,"One of the most beautiful and peaceful place on earth must visit yes bit annoying road off the highway but definitely soon it will be in good condition hoping so place is full of earthy vibes and pleasant for eyes too ,room rate but on higher side but still end of the have done a great piece of art love it",2022-05-19,"One of the most beautiful and peaceful place on earth must visit yes bit annoying road off the highway but definitely soon it will be in good condition hoping so place is full of earthy vibes and pleasant for eyes too ,room rate but on higher side but still end of the have done a great piece of art love it"
2 years ago,"How to Reach:Situated around 80 kms from Mumbai in Wada, it takes about 2 hrs to reach there. (Recommend to visit Navnath Temple that comes on the way. It has hot water …",2022-05-19,"How to Reach:Situated around 80 kms from Mumbai in Wada, it takes about 2 hrs to reach there. (Recommend to visit Navnath Temple that comes on the way. It has hot water …"
a year ago,"If you have not been to vrindavan, then this is the place you should visit. ISCKON has created this very rare place that teleports you to vrindavan for a day. There are two options to visit this place. 1.  Day Visit - This is free. You can …",2023-05-19,"If you have not been to vrindavan, then this is the place you should visit. ISCKON has created this very rare place that teleports you to vrindavan for a day. There are two options to visit this place. 1.  Day Visit - This is free. You can …"
3 months ago,"Amazing place who love nature , peace and little bit inclined to spirituality",2024-02-18,"Amazing place who love nature , peace and little bit inclined to spirituality"
a year ago,"Icon for Lord  Krishna devotees, Govardhan eco village is full of devotion for Lord krishna  and place is the symbol of worship and prayers offered to Lord Krishna. …",2023-05-19,"Icon for Lord  Krishna devotees, Govardhan eco village is full of devotion for Lord krishna  and place is the symbol of worship and prayers offered to Lord Krishna. …"
a year ago,"Govardhan Eco Village is not a Tourist place, It is a place to connect to God and inner self. If you want relaxation, recharge your mind and meet like minded people then GEV is your place. …",2023-05-19,"Govardhan Eco Village is not a Tourist place, It is a place to connect to God and inner self. If you want relaxation, recharge your mind and meet like minded people then GEV is your place. …"
a year ago,"The ecovillage is composed of farms, animal shelter, yoga school, ayurveda center, community area and geo-tourism site, all nested in the setting of an ashram.Very nice place to visit",2023-05-19,"The ecovillage is composed of farms, animal shelter, yoga school, ayurveda center, community area and geo-tourism site, all nested in the setting of an ashram.Very nice place to visit"
a year ago,"What A Immense & Soulfull Trip, Feelings Cannot be Justified in Words, You need to visit this Place to Experience by Yourself, Also Don't Miss the Evening Yamuna Aarti. …",2023-05-19,"What A Immense & Soulfull Trip, Feelings Cannot be Justified in Words, You need to visit this Place to Experience by Yourself, Also Don't Miss the Evening Yamuna Aarti. …"
8 months ago,The experience of this Govardhan eco-village aka mini vrindavan is really awesome if you or your mind want some relaxation this best place for youYou can experience landscape view and if you want to stay here for some days the …,2023-09-21,The experience of this Govardhan eco-village aka mini vrindavan is really awesome if you or your mind want some relaxation this best place for youYou can experience landscape view and if you want to stay here for some days the …
11 months ago,"Very beautiful place,  you want peace of mind so you can go there.Totaly eco friendly environment. You can spend one day with peace of mind.",2023-06-23,"Very beautiful place,  you want peace of mind so you can go there.Totaly eco friendly environment. You can spend one day with peace of mind."
a year ago,This area is dedicated to वृंदावन village look. Area is big and you have to keep walking for about two hours to see all the decorations of Lord कृष्ण.,2023-05-19,This area is dedicated to वृंदावन village look. Area is big and you have to keep walking for about two hours to see all the decorations of Lord कृष्ण.
11 months ago,It's was amazing i Hope each and everyone must visit just...... I want to tell if you have personal vehicle it would b good to visit and you will get good time to spend other apko Local vehicles k hisab se arrange kr na pdega …,2023-06-23,It's was amazing i Hope each and everyone must visit just...... I want to tell if you have personal vehicle it would b good to visit and you will get good time to spend other apko Local vehicles k hisab se arrange kr na pdega …
2 years ago,"Superb place, peaceful, natural surrounding, the first thing that catches attention of your eyes and heart is the idol of first temple. Too too beautiful. Takes usually 2 to 3 hours for day visit. No entry fees for day visit. Prasad is awesome too.",2022-05-19,"Superb place, peaceful, natural surrounding, the first thing that catches attention of your eyes and heart is the idol of first temple. Too too beautiful. Takes usually 2 to 3 hours for day visit. No entry fees for day visit. Prasad is awesome too."
10 months ago,"Peaceful place, there are time slots to explore this place , which is free of cost. Prasad was delicious , temples are clean and with aoothing ambiance. …",2023-07-23,"Peaceful place, there are time slots to explore this place , which is free of cost. Prasad was delicious , temples are clean and with aoothing ambiance. …"
4 years ago,"It's a beautiful place. One feels very mindful there. Also, one of the saints come along with you to explain about the whole thing. Mainly there is on mandir in the starting and then after a series of places where Lord Krishna showed his Divinity or ""Leela"" are emulated in here.",2020-05-19,"It's a beautiful place. One feels very mindful there. Also, one of the saints come along with you to explain about the whole thing. Mainly there is on mandir in the starting and then after a series of places where Lord Krishna showed his Divinity or ""Leela"" are emulated in here."
2 years ago,One must visit this place and spend time for a few days here to get relieved from the hustle and bustle of city life and rejuvenate oneself with spiritual splendor. The accommodation is super-excellent. Meals or prasadam are even more …,2022-05-19,One must visit this place and spend time for a few days here to get relieved from the hustle and bustle of city life and rejuvenate oneself with spiritual splendor. The accommodation is super-excellent. Meals or prasadam are even more …
10 months ago,Spiritual place. Beautiful place must visit. Very spacious and lunch also very tasty and healthy. …,2023-07-23,Spiritual place. Beautiful place must visit. Very spacious and lunch also very tasty and healthy. …
a month ago,"It is a divine experience. A must visit with your family. Though one day is enough to visit the temples, it is advisable to get a stay to experience the Arti on the ghat. …",2024-04-18,"It is a divine experience. A must visit with your family. Though one day is enough to visit the temples, it is advisable to get a stay to experience the Arti on the ghat. …"
7 months ago,It was an enchanting experience. Attend their early morning Aarti and Yadnya. Don't go for any fun or timepass.Go with the devotional mindset. Just experience the serenity of this place. You will love it. …,2023-10-21,It was an enchanting experience. Attend their early morning Aarti and Yadnya. Don't go for any fun or timepass.Go with the devotional mindset. Just experience the serenity of this place. You will love it. …
a year ago,"I went here on Ram Navmi, the celebration was really amazing. It is worth going with family. Temple is around 80kms from Borivali. They have rooms for stay, and restaurants. A guided tour is arranged every hour which i felt was really good.",2023-05-19,"I went here on Ram Navmi, the celebration was really amazing. It is worth going with family. Temple is around 80kms from Borivali. They have rooms for stay, and restaurants. A guided tour is arranged every hour which i felt was really good."
3 months ago,"Amazing Dham of Krishna Banke Bihari Lal ,Atleast every one have to Visit once",2024-02-18,"Amazing Dham of Krishna Banke Bihari Lal ,Atleast every one have to Visit once"
10 months ago,Most refreshing place of spiritual people and also for non spiritual people to become spiritual. And the place take you away more towards Krishna. Hare Krishna!,2023-07-23,Most refreshing place of spiritual people and also for non spiritual people to become spiritual. And the place take you away more towards Krishna. Hare Krishna!
2 years ago,"Wonderful place for a spiritual/ Ecological/ yogic/cultural visit. It has exact replica of Vrindavan including temples and ponds along with other Indian cultural treatment and rejuvenation centers with Ayurveda, Yoga and even Gurukul too. A …",2022-05-19,"Wonderful place for a spiritual/ Ecological/ yogic/cultural visit. It has exact replica of Vrindavan including temples and ponds along with other Indian cultural treatment and rejuvenation centers with Ayurveda, Yoga and even Gurukul too. A …"
9 months ago,This place is gud to go . For one day it’s not sufficient . One can opt for 1 night stay so that one can enjoy the whole thing . They have the option for staying also. Can get Prasad in stipulated time . Beyond that there is a restaurant …,2023-08-22,This place is gud to go . For one day it’s not sufficient . One can opt for 1 night stay so that one can enjoy the whole thing . They have the option for staying also. Can get Prasad in stipulated time . Beyond that there is a restaurant …
8 months ago,Goverdhan Eco Village also known as Mini Vrindavan. Very Peaceful Place to stay. They have a very different environment all together. …,2023-09-21,Goverdhan Eco Village also known as Mini Vrindavan. Very Peaceful Place to stay. They have a very different environment all together. …
10 months ago,positive review is no tickets for vrindavan jhaanki free khichdi prasadam and chilled drinking water facility every 100mtrs  anyone with less money can visitand hv a small funtime......... they hv restaurants only for the one who will book …,2023-07-23,positive review is no tickets for vrindavan jhaanki free khichdi prasadam and chilled drinking water facility every 100mtrs  anyone with less money can visitand hv a small funtime......... they hv restaurants only for the one who will book …
5 months ago,Had a great time in GEV. Peaceful and covered with nature..,2023-12-20,Had a great time in GEV. Peaceful and covered with nature..
2 years ago,"It was nice if you choose to stay overnight. Peaceful and positive vibes.But it was crowded. Food was ok-ish, Jain food available only. Varity can be found in menu. …",2022-05-19,"It was nice if you choose to stay overnight. Peaceful and positive vibes.But it was crowded. Food was ok-ish, Jain food available only. Varity can be found in menu. …"
a year ago,"72 kns from mumbai a must visit clean, peaceful and beautiful natural place. Replica of vrindavan, govardhan & yamuna. Free entry, free prasadam. Rooms on rent available, must stay overnight at least for one day and attend yamuna aarti and visit all the placed in govardhan eco village. Room prices are higher on Friday's & Saturday's. …",2023-05-19,"72 kns from mumbai a must visit clean, peaceful and beautiful natural place. Replica of vrindavan, govardhan & yamuna. Free entry, free prasadam. Rooms on rent available, must stay overnight at least for one day and attend yamuna aarti and visit all the placed in govardhan eco village. Room prices are higher on Friday's & Saturday's. …"
2 years ago,No words can match the beauty and the feel of this place. One can surely feel their connection with the nature and more importantly with Lord Krishna who is established here in the form of Deity and Govardhan Parvat. They also call it a …,2022-05-19,No words can match the beauty and the feel of this place. One can surely feel their connection with the nature and more importantly with Lord Krishna who is established here in the form of Deity and Govardhan Parvat. They also call it a …
8 months ago,"Good one day visit, excellent location, spiritual and natural trip. Busy on weekends. …",2023-09-21,"Good one day visit, excellent location, spiritual and natural trip. Busy on weekends. …"
a year ago,"Good place for a half day visit not far away from Mumbai. But if you are spiritually inclined, then a night's stay is recommended to attend the aartis.",2023-05-19,"Good place for a half day visit not far away from Mumbai. But if you are spiritually inclined, then a night's stay is recommended to attend the aartis."
a year ago,"If you want to move away from the hustle bustle of life for a weekend, look no further. This IS the place that you would want to be. …",2023-05-19,"If you want to move away from the hustle bustle of life for a weekend, look no further. This IS the place that you would want to be. …"
a year ago,"Spread across 100+ acres, Govardhan Ecovillage is a beautiful village set up here. It is dedicated to Lord Krishna and there are replicas of Krishna temples from Krishna janmabhoomi, Mathura.. it's peaceful with zero pollution. There are …",2023-05-19,"Spread across 100+ acres, Govardhan Ecovillage is a beautiful village set up here. It is dedicated to Lord Krishna and there are replicas of Krishna temples from Krishna janmabhoomi, Mathura.. it's peaceful with zero pollution. There are …"
8 months ago,Beautiful and serene place to be in admist of nature.  Best for spending time with family.Hare krishna,2023-09-21,Beautiful and serene place to be in admist of nature.  Best for spending time with family.Hare krishna
2 weeks ago,"This place are amazing, you can go here with you family friends and enjoy with nature 🌿🍃 ,  there are lots of thing that you can feel,  also they have lost of eco friendly things …",2024-05-04,"This place are amazing, you can go here with you family friends and enjoy with nature 🌿🍃 ,  there are lots of thing that you can feel,  also they have lost of eco friendly things …"
a month ago,Beautiful place to spend a day with your family and friends. It's a bit outside from Palgahr Railway Station.It will take 1 to 1.30 hours from Mumbai by road. …,2024-04-18,Beautiful place to spend a day with your family and friends. It's a bit outside from Palgahr Railway Station.It will take 1 to 1.30 hours from Mumbai by road. …
2 years ago,"This is an excellent resort cum Ecovillage located in the lap of mother nature at Wada near Manor- Palghar in Maharashtra state, India. This a spiritual place having wonderful rooms, tents and other facilities of excellent vegetarian food …",2022-05-19,"This is an excellent resort cum Ecovillage located in the lap of mother nature at Wada near Manor- Palghar in Maharashtra state, India. This a spiritual place having wonderful rooms, tents and other facilities of excellent vegetarian food …"
3 months ago,Really it's truly ECO VILLAGE.Must Visit ...😊,2024-02-18,Really it's truly ECO VILLAGE.Must Visit ...😊
a year ago,"Govardhan Eco Village ISKCON is a spiritual retreat center located in Maharashtra, India, that provides visitors with a unique experience in eco-friendly living and sustainable agriculture. The village is spread across 100 acres of land and …",2023-05-19,"Govardhan Eco Village ISKCON is a spiritual retreat center located in Maharashtra, India, that provides visitors with a unique experience in eco-friendly living and sustainable agriculture. The village is spread across 100 acres of land and …"
2 years ago,Place is very beautiful and peaceful.You can also stay there and explore the Lila's of Lord Krishna.They provide you organic food and many peaceful activities like yoga and stuff.Best recreation center.,2022-05-19,Place is very beautiful and peaceful.You can also stay there and explore the Lila's of Lord Krishna.They provide you organic food and many peaceful activities like yoga and stuff.Best recreation center.
3 months ago,"If you want a good spiritual experience then do visit this place. I personally had a very good experience. There are rooms where you can stay with your family. The food is good, tasty and satvik. Visit here for a spiritual journey.",2024-02-18,"If you want a good spiritual experience then do visit this place. I personally had a very good experience. There are rooms where you can stay with your family. The food is good, tasty and satvik. Visit here for a spiritual journey."
11 months ago,"If u r looking for some peaceful spiritual place of visit, u can visit here. Food n parking facilities are avbl. …",2023-06-23,"If u r looking for some peaceful spiritual place of visit, u can visit here. Food n parking facilities are avbl. …"
7 months ago,"Very beautiful Radha Krishna temple.Peaceful and relaxing place.You can experience real Govardhan here. Similarly, there is also a 40-minute tour every 1 or 2 hours which gives complete Govardhan information about Govardhan's history.",2023-10-21,"Very beautiful Radha Krishna temple.Peaceful and relaxing place.You can experience real Govardhan here. Similarly, there is also a 40-minute tour every 1 or 2 hours which gives complete Govardhan information about Govardhan's history."
4 months ago,"Awesome Place.Very Peaceful Environment.And When you enter Radha Krishna Temple, all your body get relaxed, no tension or Headache. Just Relax and Feel the Vibes.",2024-01-19,"Awesome Place.Very Peaceful Environment.And When you enter Radha Krishna Temple, all your body get relaxed, no tension or Headache. Just Relax and Feel the Vibes."
a year ago,Lovely place to visit with lovely Darshan of Bake bihariji and Radha Madan Mohanji. Get very good knowledge about lord Krishna. …,2023-05-19,Lovely place to visit with lovely Darshan of Bake bihariji and Radha Madan Mohanji. Get very good knowledge about lord Krishna. …
a year ago,Great spiritual place to visit to feel our inner soul ... Great place ... Everyone should visit once …,2023-05-19,Great spiritual place to visit to feel our inner soul ... Great place ... Everyone should visit once …
10 months ago,"Such a beautiful place❤️Must come with family , friends and feel like vrindavan such a beautiful replica of every temple 💯❤️ …",2023-07-23,"Such a beautiful place❤️Must come with family , friends and feel like vrindavan such a beautiful replica of every temple 💯❤️ …"
2 years ago,I believe that you will enjoy visiting this place for sure.How to reach there : …,2022-05-19,I believe that you will enjoy visiting this place for sure.How to reach there : …
2 months ago,A very peaceful place ever visited just ur in krishna nagari.Attended Mangal aarti in starting If Jan24 mesmerising with all prabhujis and matajis very helpful.Hare Krishna. …,2024-03-19,A very peaceful place ever visited just ur in krishna nagari.Attended Mangal aarti in starting If Jan24 mesmerising with all prabhujis and matajis very helpful.Hare Krishna. …
2 months ago,"Wonderful place for yoga, relaxing, spiritual activity, ayurvedic treatment, meditation etc.",2024-03-19,"Wonderful place for yoga, relaxing, spiritual activity, ayurvedic treatment, meditation etc."
5 years ago,"The wonderful palace I ever seen. Most beautiful, replica of Sri Braj Dham. Everyone should visit this palace. I have attached some beautiful pictures in which you can see Sri Barsana Dham, Sri Nand Gaon, And my past time of Lord Krishna.",2019-05-20,"The wonderful palace I ever seen. Most beautiful, replica of Sri Braj Dham. Everyone should visit this palace. I have attached some beautiful pictures in which you can see Sri Barsana Dham, Sri Nand Gaon, And my past time of Lord Krishna."
3 years ago,Amazing place to gain some practical spiritual insights and to rejuvenate yourself. You will experience nature closely breathe some fresh air which is seldom available in a city life and relish the best quality and tasty prasadam ehich will satisfy your taste buds. Must visit much recommended to all.,2021-05-19,Amazing place to gain some practical spiritual insights and to rejuvenate yourself. You will experience nature closely breathe some fresh air which is seldom available in a city life and relish the best quality and tasty prasadam ehich will satisfy your taste buds. Must visit much recommended to all.
5 months ago,It's a very nice place  there is a lot of peace here,2023-12-20,It's a very nice place  there is a lot of peace here
a year ago,"A perfect blend of serenity and Dharma in the lap of nature. Yes, this place is for your soul. Here No proper cellular network but one is able to connect with divinity. …",2023-05-19,"A perfect blend of serenity and Dharma in the lap of nature. Yes, this place is for your soul. Here No proper cellular network but one is able to connect with divinity. …"
10 months ago,It was good and enjoyed staying there the system was also good. People who really want to enjoy should avoid going on weekend. …,2023-07-23,It was good and enjoyed staying there the system was also good. People who really want to enjoy should avoid going on weekend. …
a year ago,Very nicely kept property. I amazed by their sustainability initiatives. Find your spiritual connect here. Evening tours are divine. …,2023-05-19,Very nicely kept property. I amazed by their sustainability initiatives. Find your spiritual connect here. Evening tours are divine. …
5 years ago,"Very peaceful place. Supported by ISKON. Set back from the real world, fashioned after Vrindavan to bring out spiritualism and inner peace. For prayerful/meditative adults etc. Would not recommend for children. Very simple vegetarian food only. Good Ayurveda centre (though a little stiff pricing chart) and wonderful Yoga sessions.",2019-05-20,"Very peaceful place. Supported by ISKON. Set back from the real world, fashioned after Vrindavan to bring out spiritualism and inner peace. For prayerful/meditative adults etc. Would not recommend for children. Very simple vegetarian food only. Good Ayurveda centre (though a little stiff pricing chart) and wonderful Yoga sessions."
a year ago,Good place to rejuvenate spiritually and materially...See the photos and after seeing you cannot help yourself saying wow.... 😅 …,2023-05-19,Good place to rejuvenate spiritually and materially...See the photos and after seeing you cannot help yourself saying wow.... 😅 …
11 months ago,"It is mini Vrindavan.The inner side Road after highway is BAD..just like other roads in Mah state.Not ideal for senior citizens ,you have to park car than walk to the temple.E Cart available only to those who have booked rooms. Further …",2023-06-23,"It is mini Vrindavan.The inner side Road after highway is BAD..just like other roads in Mah state.Not ideal for senior citizens ,you have to park car than walk to the temple.E Cart available only to those who have booked rooms. Further …"
3 weeks ago,"Very good experience, no parking charges, no entry fees, it is very convenient, the place of the temple is very well maintained, cleanliness is taken care of, utmost peace.. …",2024-04-27,"Very good experience, no parking charges, no entry fees, it is very convenient, the place of the temple is very well maintained, cleanliness is taken care of, utmost peace.. …"
a year ago,Must go destination on weekends with your kids. The rehabilitation centre which connects us with the mother nature. Due to the association of HH Radhanath Swami Maharaj this is the divine place for Krishna Conscious people. …,2023-05-19,Must go destination on weekends with your kids. The rehabilitation centre which connects us with the mother nature. Due to the association of HH Radhanath Swami Maharaj this is the divine place for Krishna Conscious people. …
a year ago,"Nature Lovers, this is one of the places you should not miss,Why is it one of the best... ?You find peace and nature in a very crafted way, it has variations of things …",2023-05-19,"Nature Lovers, this is one of the places you should not miss,Why is it one of the best... ?You find peace and nature in a very crafted way, it has variations of things …"
2 years ago,Very good place to stay it's very well maintained & very clean staff is very cooperative it's a small village by itself but very huge place . They have mini golf carts available for transportation for inner village as cars private vehicles …,2022-05-19,Very good place to stay it's very well maintained & very clean staff is very cooperative it's a small village by itself but very huge place . They have mini golf carts available for transportation for inner village as cars private vehicles …
2 months ago,Very poor transport services uptil the location. From palghar station it takes an hour to reach govardhan village which is tiresome.Not worth visiting for a day time . If you are looking for staycation then can consider. …,2024-03-19,Very poor transport services uptil the location. From palghar station it takes an hour to reach govardhan village which is tiresome.Not worth visiting for a day time . If you are looking for staycation then can consider. …
2 years ago,"Govardhan Ecovillage-ISKCONGovardhan Ecovillage, H.No. 586, Galtare, P.O, Hamrapur Road, MIDC, Maharashtra …",2022-05-19,"Govardhan Ecovillage-ISKCONGovardhan Ecovillage, H.No. 586, Galtare, P.O, Hamrapur Road, MIDC, Maharashtra …"
